RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RA_J2000,DE_J2000
56.34306893,23.20461817,6.48755E+16,0.035,0.023,10.9272,0.0382,76.623,-55.647,0.048,-52.674,0.029,1.216,8838619.304,2612.6243,8.321405,4778367.786,5267.914,8.640344,5830753.973,5155.686,7.833584,0.80676,,,,,0,0,0,1,1,0,0,0,1,1,5697.6,4.1174,-0.1296,90.8729,0.0011,,,,,1799-910-1  ,URAT1-567028036,J034522.36+231216.8,,NC3R043956,,03452240+2312173 ,,56.34333802,23.20485227
56.34205247,23.20927368,6.48755E+16,0.2816,0.1935,0.1749,0.326,6.447,3.494,0.415,-5.418,0.243,0.963,390.43635,1.1326861,19.20849,92.58373928,7.1263375,20.422205,436.9944289,11.038842,18.146706,2.275499,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35851E+17,,,,,,,,,,,56.34203557,23.20929775
56.34887329,23.22539803,6.48755E+16,0.6665,0.4755,0.4863,0.7489,12.055,7.349,1.021,-9.556,0.603,0.988,151.21393,0.96291524,20.238388,67.05810869,17.152813,20.772413,195.5380668,7.175419,19.019817,1.752596,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35871E+17,,,,,J034523.73+231331.3,,NC3R001982,,,,56.34883775,23.2254405
56.32523956,23.2101756,6.48755E+16,1.776,1.6792,4.137,2.4262,4.351,-0.463,2.667,-4.326,2.531,1.013,86.99756,1.1537197,20.838598,55.93467087,14.366782,20.96934,116.6068211,18.43792,19.581085,1.388254,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35851E+17,,,,,,,NC3R000822,,,,56.3252418,23.21019483
56.32817883,23.22253471,6.48755E+16,1.0914,0.7317,2.1101,1.3022,19.048,5.656,1.67,-18.189,0.945,1.22,114.29554,1.0894527,20.542294,52.48397826,12.026266,21.038475,113.7293196,11.285287,19.608215,1.43026,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35861E+17,,,,,,,NC3R000846,,,,56.32815147,23.22261555
56.33528698,23.22030661,6.48755E+16,0.0814,0.0535,0.8003,0.0875,8.197,3.228,0.109,-7.535,0.066,1.166,3299.24982,4.5524955,16.891329,1427.759803,9.017615,17.451904,3262.668576,11.2625885,15.963964,1.487941,,,,,0,0,0,1,0,0,0,0,0,1,,,,,,,1.35861E+17,,,,URAT1-567028032,J034520.47+231312.9,,NC3R000840,,03452048+2313131 ,,56.33527137,23.2203401
56.33382577,23.22281271,6.48756E+16,3.1571,2.6559,,,,,,,,,72.25035,1.4541997,21.040266,45.4598964,9.9309435,21.194471,70.5587069,7.4634595,20.126518,1.067953,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35861E+17,,,,,,,NC3R000845,,,,56.33382577,23.22281271
56.27626151,23.21724049,6.48784E+16,0.1186,0.0887,0.8039,0.1388,7.482,5.738,0.16,-4.801,0.11,1.037,1418.98739,1.7619436,17.80742,554.9493568,13.432559,18.47791,1229.173993,12.082282,17.023863,1.454046,,,,,0,0,0,0,0,0,0,0,1,1,4300.8,4.882,-1.358,816.8827,0.0997,,1.35861E+17,,,,URAT1-567027999,J034506.30+231302.1,,NC3R000831,,03450630+2313021 ,,56.27623376,23.21726183
56.29680007,23.22045857,6.48784E+16,0.0299,0.0217,0.8176,0.0323,3.049,-1.022,0.039,-2.873,0.026,1.013,14867.7271,5.1137094,15.256756,6973.715894,16.743612,15.729881,11513.63979,12.027244,14.594864,1.135017,,,,,0,0,0,1,0,0,0,0,1,1,6003.2,4.2856,-0.6044,1042.5656,0.9546,,1.35861E+17,,,,URAT1-567028011,J034511.23+231313.6,220824,NC3R000838,,03451124+2313137 ,,56.29680501,23.22047134
56.31166692,23.23065698,6.48785E+16,7.4871,3.6288,,,,,,,,,80.60721,1.6455264,20.921432,32.12344442,11.870111,21.571487,94.55955475,17.466084,19.808632,1.762856,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35871E+17,,,,,,,,,,,56.31166692,23.23065698
56.32456553,23.23255779,6.48785E+16,0.9865,0.6746,0.2068,1.0286,7.618,3.273,1.832,-6.879,0.857,0.98,114.78653,0.9187223,20.53764,39.67332216,6.568472,21.342297,137.1935266,15.1383095,19.404562,1.937735,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35871E+17,,,,,J034517.93+231357.1,,,,,,56.3245497,23.23258836
56.29793026,23.23370622,6.48785E+16,0.6289,0.4576,-0.0257,0.7972,0.293,0.063,1.028,-0.286,0.69,1.109,161.56521,1.0802178,20.166498,83.11600901,8.086463,20.539331,120.3962446,7.704025,19.546364,0.992968,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35881E+17,,,,,,,NC3R000869,,,,56.29792995,23.23370749
56.30832544,23.24744228,6.48786E+16,0.3069,0.1985,0.2099,0.3337,8.641,3.808,0.421,-7.757,0.242,0.89,381.32476,1.218209,19.234129,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35891E+17,,,,,,,NC3R000930,,,,56.30830702,23.24747675
56.30791781,23.24791375,6.48786E+16,0.133,0.09,0.6129,0.145,8.329,2.903,0.185,-7.806,0.111,1.04,1222.05173,1.5293278,17.969643,463.6181831,10.305821,18.673141,1188.487957,17.555536,17.060408,1.612734,,,,,0,0,0,0,0,0,0,0,1,1,4041.6,4.8082,-1.331,749.5275,0.0481,,1.35891E+17,,,,URAT1-567028017,,,NC3R000930,,,,56.30790377,23.24794845
56.31044027,23.24788456,6.48786E+16,0.0264,0.0183,1.2053,0.0281,14.694,13.756,0.035,5.166,0.022,0.984,20778.00647,5.462855,14.893357,9573.021655,15.416168,15.38592,16068.93018,18.997509,14.232928,1.152991,,,,,0,0,0,1,1,0,0,0,1,1,5602.1,4.4213,-0.5898,743.4713,0.7576,,1.35891E+17,,,,URAT1-567028020,J034514.49+231452.2,220825,NC3R000308,,03451450+2314523 ,,56.31037373,23.2478616
56.27333747,23.21943972,6.48786E+16,0.0603,0.0457,0.4261,0.0701,4.67,2.463,0.08,-3.968,0.058,1.027,4305.27037,2.7596972,16.602365,1958.022464,10.400414,17.108997,3369.804138,12.654047,15.928884,1.180114,,,,,0,0,0,0,0,0,0,0,1,1,5024.9,4.3607,-2.9818,1398.1072,0.3527,,1.35861E+17,,,,URAT1-567027996,J034505.61+231310.0,,NC3R000835,,03450561+2313101 ,,56.27332556,23.21945736
56.27031758,23.22043955,6.48786E+16,6.4086,4.4467,,,,,,,,,71.19245,1.36775,21.056282,55.79122581,20.098452,20.972128,58.94260609,23.981466,20.321823,0.650305,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35861E+17,,,,,,,NC3R000836,,,,56.27031758,23.22043955
56.27373151,23.22318734,6.48786E+16,0.4209,0.3088,-0.709,0.5145,7.278,4.871,0.609,-5.408,0.386,1.009,239.90781,1.0863492,19.737255,89.15027285,6.61976,20.463236,176.7404418,9.544233,19.129555,1.333681,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35861E+17,,,,,,,NC3R000844,,,,56.27370795,23.22321137
56.27682694,23.22442421,6.48786E+16,0.5389,0.3989,-0.0439,0.6246,7.52,-4.143,0.778,-6.276,0.495,1.085,204.94534,0.93504006,19.908272,53.56065119,6.333627,21.016428,238.921382,6.7028403,18.802258,2.214171,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35861E+17,,,,,J034506.44+231327.7,,NC3R000848,,,,56.27684698,23.22445211
56.28229671,23.22604433,6.48786E+16,0.4594,0.3517,1.0915,0.5226,12.45,6.582,0.679,10.567,0.43,1.062,240.29824,0.99145323,19.73549,42.42829078,5.880555,21.269403,331.1826248,11.227216,18.447727,2.821676,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35871E+17,,,,,J034507.75+231333.8,,NC3R000849,,03450778+2313335 ,,56.28226487,23.22599736
56.26623468,23.22223463,6.48786E+16,2.3573,2.6515,,,,,,,,,83.14476,1.1469167,20.88778,50.95720506,9.592409,21.070528,67.3253311,16.618998,20.17745,0.893078,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35861E+17,,,,,,,,,,,56.26623468,23.22223463
56.28773991,23.24111745,6.48786E+16,0.3024,0.2164,0.1114,0.3398,1.522,-0.285,0.428,-1.496,0.267,0.998,372.25637,1.2134691,19.260262,151.1608274,13.408298,19.889944,343.2021574,8.466853,18.409021,1.480923,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35881E+17,,,,,,,NC3R000897,,,,56.28774129,23.24112409
56.28401469,23.24559588,6.48786E+16,0.521,0.3895,1.7371,0.6313,24.994,24.829,0.771,2.87,0.478,0.972,193.54282,1.011139,19.970425,69.45882411,14.737962,20.734224,222.8695674,9.605212,18.87777,1.856455,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35891E+17,,,,,J034508.14+231444.0,,NC3R000914,,,,56.28389459,23.24558313
56.26160469,23.23962283,6.48787E+16,0.0727,0.0553,0.0077,0.0812,0.718,0.454,0.099,-0.557,0.068,1.029,2896.40985,2.1782732,17.032717,1133.319681,13.857774,17.702662,2521.946752,10.880486,16.243555,1.459106,,,,,0,0,0,1,0,0,0,0,1,1,4988.2,4.4383,-0.8129,1266.9608,1.0281,,1.35881E+17,,,,URAT1-567027987,J034502.78+231422.7,,NC3R000893,,03450278+2314226 ,,56.26160249,23.23962531
56.30068239,23.24816412,6.48787E+16,1.3573,0.9693,1.1135,1.5315,17.447,-1.482,2.171,-17.384,1.291,1.114,90.66135,1.0564027,20.793812,26.56944998,6.2957034,21.777586,203.6673355,10.397304,18.975592,2.801994,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35891E+17,,,,,J034512.15+231453.6,,NC3R041636,,03451215+2314538 ,,56.30068955,23.24824138
56.28740086,23.24319202,6.48787E+16,0.355,0.2508,1.5362,0.4061,11.29,10.671,0.505,-3.689,0.314,1.046,311.54905,1.1199853,19.45355,72.03723997,8.228669,20.694649,370.3400754,9.231149,18.326393,2.368256,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1.35891E+17,,,,URAT1-567028004,,,NC3R000902,,03450897+2314353 ,,56.28734925,23.24320841
56.29520801,23.25487971,6.48787E+16,0.2184,0.1558,0.5059,0.2443,1.758,0.953,0.306,-1.478,0.193,1.09,656.1398,1.2735286,18.644876,268.0274545,12.625373,19.268093,544.5804127,12.2848425,17.90774,1.360354,,,,,0,0,0,0,0,0,0,0,1,0,4392.4,5.0644,-2.6529,880.4255,0.0099,,1.35901E+17,,,,URAT1-567028010,,,NC3R001120,,,,56.2952034,23.25488628
56.29310442,23.25422481,6.48787E+16,0.1721,0.1157,0.2065,0.1861,4.005,0.374,0.234,-3.987,0.147,1.002,901.67204,1.6216185,18.299746,347.3386015,10.734636,18.98666,758.5204649,9.023794,17.547977,1.438683,,,,,0,0,0,0,0,0,0,0,1,0,4255.5,5.0055,-1.8357,761.1315,0.0374,,1.35901E+17,,,,URAT1-567028009,J034510.35+231515.7,,NC3R001121,,03451035+2315153 ,,56.29310261,23.25424254
