type_best_classification,type2_best_sub_classification,mode_best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ,best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ
"DCEP ","---","FUNDAMENTAL   ","4660197330446597120",2.8484334,1660.40581528,14.909,0.165,4,0.394,4.182,81.9475565984,-67.0994088869,81.9475565984,-67.0994088869,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660211074342055296",0.86043898,1664.23793763,16.939,0.281,3,0.211,3.574,82.1508627433,-67.0023477609,82.1508627433,-67.0023477609,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660215128789692544",3.37227995,1658.57245309,15.761,0.57,4,0.436,4.349,82.6760656153,-66.8782408879,82.6760656153,-66.8782408879,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660215816000735104",3.61655925,1657.55740313,15.698,0.389,3,0.301,4.438,82.6069425501,-66.8728805626,82.6069425501,-66.8728805626,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660222035090503040",3.26982809,1656.70318596,15.626,0.657,6,0.477,4.209,82.2489009678,-66.7343235385,82.2489009678,-66.7343235385,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660224234120996864",1.71392495,1662.36804077,15.715,0.403,3,0.234,4.448,81.8257695779,-66.9268740372,81.8257695779,-66.9268740372,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660225917748313216",3.68196016,1657.81516275,15.524,0.866,5,0.476,4.242,82.0144385821,-66.8134947793,82.0144385821,-66.8134947793,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660226673662588672",3.89283602,1656.46238893,15.564,0.67,5,0.483,4.399,81.8338704989,-66.785184879,81.8338704989,-66.785184879,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660232759665049216",2.36910504,1659.68483501,16.103,0.677,5,0.463,4.159,81.9594843013,-66.7565650479,81.9594843013,-66.7565650479,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660258250254527872",3.13970159,1659.89000209,15.914,0.487,3,0.383,4.349,83.4461968472,-66.9479703699,83.4461968472,-66.9479703699,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660261823697024640",5.06826209,1655.96567018,15.254,0.589,4,0.431,4.597,83.2375851846,-66.7967549392,83.2375851846,-66.7967549392,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660262373423581568",1.63164629,1662.78091749,15.782,0.42,3,0.212,4.323,83.2396603235,-66.7448098111,83.2396603235,-66.7448098111,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660264263209065344",4.63264152,1656.90143184,15.365,0.57,4,0.426,4.48,83.0429848574,-66.7807365556,83.0429848574,-66.7807365556,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660264916044076544",1.02617369,1663.91687809,16.743,0.198,3,0.182,3.689,83.1314138992,-66.790496697,83.1314138992,-66.790496697,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660265397080597248",2.96493083,1659.86402531,15.793,0.617,5,0.443,4.27,83.1766309702,-66.7202468697,83.1766309702,-66.7202468697,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660266221714334208",2.49141408,1659.35583943,16.033,0.666,5,0.468,4.201,82.9288802584,-66.699076406,82.9288802584,-66.699076406,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660268008420676992",5.37720781,1654.38677181,15.222,0.422,3,0.353,4.653,83.3490282196,-66.7437945048,83.3490282196,-66.7437945048,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660312710443869184",1.26914544,1663.0928171,16.457,0.252,2,0.145,3.905,82.6485896777,-66.6580586442,82.6485896777,-66.6580586442,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660312847882811136",4.05713833,1657.06617519,15.571,0.417,3,0.39,4.288,82.5786177284,-66.6730801529,82.5786177284,-66.6730801529,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660313706876220544",3.92057952,1654.85003314,15.609,0.375,3,0.356,4.295,82.8843866336,-66.6424567802,82.8843866336,-66.6424567802,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660314153552791168",4.32298135,1655.5634854,15.256,0.92,7,0.485,4.473,82.7124836988,-66.6572635575,82.7124836988,-66.6572635575,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660316421293826944",1.89926442,1662.74613374,15.622,0.365,2,0.188,4.356,82.329288474,-66.6408881347,82.329288474,-66.6408881347,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660317074128875392",2.36608569,1661.09027178,15.931,0.449,4,0.454,4.163,82.3354685695,-66.589692106,82.3354685695,-66.589692106,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660318345441234432",3.77223366,1659.0234007,15.399,0.8,4,0.441,4.293,82.4192539674,-66.5171383094,82.4192539674,-66.5171383094,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660324117876895488",5.12157892,1657.79037961,15.25,0.332,3,0.287,4.514,82.5452994781,-66.5104659302,82.5452994781,-66.5104659302,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660331951895750528",5.12162462,1658.29290507,15.207,0.43,3,0.363,4.592,82.0465323002,-66.4312667116,82.0465323002,-66.4312667116,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660332948327965952",4.90453654,1659.59772379,14.483,0.208,3,0.133,4.1,81.8797358315,-66.5085025093,81.8797358315,-66.5085025093,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"T2CEP","W_VIR","NOT_APPLICABLE","4660334631955405952",16.31544673,1635.27902149,16.406,0.888,4,0.08,1.384,81.7215063075,-66.3988918906,81.7215063075,-66.3988918906,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660335319150174464",2.73988371,1665.47734211,16.082,0.59,4,0.442,4.226,81.8258324182,-66.3944718263,81.8258324182,-66.3944718263,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660381704797640576",4.21358807,1657.93510016,14.6,0.257,3,0.124,3.615,81.1564629033,-67.1096638357,81.1564629033,-67.1096638357,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660388100001121408",1.21881025,1663.10099365,16.47,0.281,2,0.162,4.231,80.9032290262,-66.960299208,80.9032290262,-66.960299208,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660389848076135168",2.24658587,1660.7388572,15.535,0.214,2,0.067,4.688,80.7646193642,-66.8511958856,80.7646193642,-66.8511958856,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660393558907732736",2.01962835,1662.3226343,15.406,0.347,3,0.181,4.378,81.1447602439,-66.8255521703,81.1447602439,-66.8255521703,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660404725822823168",1.17712309,1663.61407834,16.431,0.438,3,0.203,4.278,80.0846463539,-66.7904323708,80.0846463539,-66.7904323708,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660408471034428928",2.85512832,1659.02520343,15.973,0.543,5,0.42,4.236,80.6017835621,-66.7264186439,80.6017835621,-66.7264186439,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660408711572639232",2.06114628,1662.57727854,15.53,0.271,2,0.124,4.489,80.5399508573,-66.7472001678,80.5399508573,-66.7472001678,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660413109598489728",20.70126523,1624.963407,13.805,0.608,3,0.237,5.002,80.2314851307,-66.6620453512,80.2314851307,-66.6620453512,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660413384477228928",3.51468471,1659.80925722,15.088,0.311,3,0.106,3.487,80.1336513415,-66.6234963173,80.1336513415,-66.6234963173,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660419706665078784",2.3967155,1661.11402114,16.308,0.629,6,0.482,4.161,81.26960631,-66.6490132362,81.26960631,-66.6490132362,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660422146206576384",5.33303397,1652.63688887,15.072,0.548,4,0.445,4.565,80.8666424382,-66.6409382822,80.8666424382,-66.6409382822,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660422318005315968",4.32160383,1656.30331978,15.567,0.349,3,0.317,4.329,80.8716992202,-66.6030982377,80.8716992202,-66.6030982377,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FIRST_OVERTONE","4660424276510274304",2.83769837,1661.55626905,15.197,0.208,2,0.044,3.54,80.9295483474,-66.5372815299,80.9295483474,-66.5372815299,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
"DCEP ","---","FUNDAMENTAL   ","4660429774068753280",4.09604352,1660.10728472,15.51,0.574,4,0.405,4.328,81.1254506536,-66.4939706171,81.1254506536,-66.4939706171,"RRAB",4658879737581295744,0.49233984,1665.17050351,19.181,0.866,3,0.330551,4.370663,81.1114246732,-67.2053683512,81.1114246732,-67.2053683512
