type_best_classification,type2_best_sub_classification,mode_best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ,best_classification,source_id,p1,epoch_g,int_average_g,peak_to_peak_g,num_harmonics_for_p1_,r21_g,phi21G,RA_ICRS,DE_ICRS,_RAJ,_DEJ
"DCEP ","---","FIRST_OVERTONE","4658950381175117824",2.79569245,1660.51381113,15.151,0.174,2,0.041,4.049,79.950786389,-66.8238448295,79.950786389,-66.8238448295,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4658956119278242688",5.22238334,1655.1021866,15.025,0.862,4,0.477,4.468,79.4267360254,-66.6480295442,79.4267360254,-66.6480295442,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4658960276779885056",1.39962121,1662.74142587,16.155,0.362,3,0.203,4.138,79.0774160047,-66.7777281836,79.0774160047,-66.7777281836,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4658968110800455040",2.18564218,1663.21217901,15.701,0.289,2,0.115,4.385,79.2276629254,-66.6274827232,79.2276629254,-66.6274827232,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4658969072873169536",2.44906328,1663.77790963,15.265,0.337,2,0.06,4.418,79.1437679628,-66.5865626749,79.1437679628,-66.5865626749,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4658970241104217472",2.90669246,1661.81108296,16.013,0.759,4,0.432,4.283,78.8939951447,-66.6467466282,78.8939951447,-66.6467466282,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660185716853361920",2.92612762,1659.3927564,15.803,0.711,3,0.471,4.477,82.3478166326,-67.1409090263,82.3478166326,-67.1409090263,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660187056884867200",9.29651448,1641.18347928,14.268,0.667,4,0.361,5.166,82.0651194175,-67.0662165718,82.0651194175,-67.0662165718,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660197330446597120",2.8484334,1660.40581528,14.909,0.165,4,0.394,4.182,81.9475565984,-67.0994088869,81.9475565984,-67.0994088869,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4660211074342055296",0.86043898,1664.23793763,16.939,0.281,3,0.211,3.574,82.1508627433,-67.0023477609,82.1508627433,-67.0023477609,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660215128789692544",3.37227995,1658.57245309,15.761,0.57,4,0.436,4.349,82.6760656153,-66.8782408879,82.6760656153,-66.8782408879,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660215816000735104",3.61655925,1657.55740313,15.698,0.389,3,0.301,4.438,82.6069425501,-66.8728805626,82.6069425501,-66.8728805626,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660222035090503040",3.26982809,1656.70318596,15.626,0.657,6,0.477,4.209,82.2489009678,-66.7343235385,82.2489009678,-66.7343235385,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4660224234120996864",1.71392495,1662.36804077,15.715,0.403,3,0.234,4.448,81.8257695779,-66.9268740372,81.8257695779,-66.9268740372,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660225917748313216",3.68196016,1657.81516275,15.524,0.866,5,0.476,4.242,82.0144385821,-66.8134947793,82.0144385821,-66.8134947793,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660226673662588672",3.89283602,1656.46238893,15.564,0.67,5,0.483,4.399,81.8338704989,-66.785184879,81.8338704989,-66.785184879,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660232759665049216",2.36910504,1659.68483501,16.103,0.677,5,0.463,4.159,81.9594843013,-66.7565650479,81.9594843013,-66.7565650479,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FIRST_OVERTONE","4660312710443869184",1.26914544,1663.0928171,16.457,0.252,2,0.145,3.905,82.6485896777,-66.6580586442,82.6485896777,-66.6580586442,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660312847882811136",4.05713833,1657.06617519,15.571,0.417,3,0.39,4.288,82.5786177284,-66.6730801529,82.5786177284,-66.6730801529,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
"DCEP ","---","FUNDAMENTAL   ","4660314153552791168",4.32298135,1655.5634854,15.256,0.92,7,0.485,4.473,82.7124836988,-66.6572635575,82.7124836988,-66.6572635575,"RRAB",4658882834232119936,0.55722254,1665.31778665,19.451,0.849,3,0.412468,4.158671,80.6354881442,-67.2099547817,80.6354881442,-67.2099547817
