ATOID,RAJ2000,DEJ2000,fp-lngfitper,fp-lngmin-c,fp-lngmax-c,fp-lngmin-o,fp-lngmax-o,fp-period,fp-min-o,fp-max-o,df-meanPvar,ls-c-med,ls-o-med,ls-Pday,Class
J056.6158+23.5925,56.61581,23.59253,1239.882568,13.188823,13.015818,12.45398,12.282251,,,,516.9,13.029,12.309,363.313172,LPV    
J055.9322+23.6001,55.93221,23.60013,14.943027,16.692362,16.36869,16.418774,16.147245,,,,0,16.489,16.264,0.830201,dubious
J057.0826+23.6031,57.08269,23.60316,28.948435,16.175627,16.06596,14.949004,14.882481,,,,0,16.136,14.903,62.343688,dubious
J056.2783+23.6141,56.27833,23.61416,14.916942,18.860157,18.625458,17.079443,16.988052,,,,0,18.761,17.025,1.033063,dubious
J056.7658+23.6161,56.76582,23.61613,6.477874,15.416589,15.37832,14.155553,14.128343,,,,259.7,15.394,14.142,12.927708,dubious
J056.0686+23.6176,56.06865,23.61765,46.943443,17.306963,17.214275,15.790561,15.719416,,,,0,17.272,15.758,0.731063,dubious
J056.5452+23.6217,56.54523,23.62178,6.636918,15.830311,15.795326,15.05218,15.036094,,,,0,15.817,15.054,0.690551,dubious
J056.3646+23.6323,56.36469,23.63236,52.336227,18.852814,18.609097,17.298626,17.203508,,,,0,18.779,17.252,0.214524,dubious
J056.8615+23.6339,56.86159,23.6339,352.96225,17.540064,17.002106,16.089563,15.966375,,,,13.8,17.052,16.059,0.329029,dubious
J057.0574+23.6330,57.05744,23.63301,11.891588,17.322445,17.163115,15.877539,15.859403,,,,537.7,17.274,15.871,0.566091,dubious
J057.1051+23.6362,57.1051,23.63629,10.309954,11.765194,11.725988,11.43898,11.423594,,,,125,11.751,11.447,2.207203,dubious
J057.3396+23.6515,57.33962,23.6516,5.740631,17.161064,17.116671,15.738944,15.712435,,,,0,17.139,15.73,0.310703,dubious
J057.0467+23.6619,57.04675,23.66198,11.353186,16.503426,16.475351,15.42778,15.391435,,,,404,16.488,15.407,0.854162,dubious
J056.2773+23.6833,56.27733,23.68334,24.571259,13.640802,13.630282,12.850038,12.827922,,,,131.2,13.632,12.832,3.872136,dubious
J056.9760+23.6882,56.97602,23.68822,49.611206,16.077993,15.573451,15.259072,14.809357,,,,219,15.887,15.126,0.960093,dubious
J056.8894+23.6923,56.88948,23.69232,31.481363,15.851766,15.797839,14.537123,14.484369,,,,0,15.815,14.501,3.059257,dubious
J057.4599+23.7054,57.45992,23.7054,1359.622925,11.64319,11.601768,11.243709,11.202264,,,,92.7,11.623,11.235,1.081289,dubious
J056.7783+23.7149,56.77834,23.71496,10.180573,12.313286,12.299425,11.832329,11.797074,,,,253.2,12.307,11.816,2.606973,dubious
J056.7856+23.7105,56.78561,23.71058,22.605528,13.415602,13.365486,12.593849,12.532325,1.602095,12.602857,12.539447,297.2,13.382,12.552,0.763042,dubious
J056.8064+23.7140,56.80648,23.7141,29.350536,12.593936,12.575171,12.06513,11.998215,,,,10,12.59,12.057,15.280758,dubious
J057.4931+23.7092,57.49314,23.70923,290.629486,16.279488,16.220366,15.050614,15.018048,,,,0,16.224,15.023,0.267617,dubious
J057.0820+23.7226,57.08203,23.72268,35.219391,13.084391,13.062107,12.777754,12.773548,,,,266,13.077,12.776,1.011529,dubious
J057.7238+23.7168,57.7238,23.71689,59.001789,15.146263,14.926267,14.679383,14.478571,0.506214,14.743674,14.472742,311.7,15.037,14.596,0.337479,CBF    
J056.3383+23.7272,56.33837,23.72728,28.160902,12.608645,12.524451,11.924032,11.8465,2.998028,11.939327,11.836529,204,12.55,11.865,1.498518,IRR    
J055.9127+23.7346,55.91274,23.73466,6.407051,18.03664,18.00769,16.406366,16.351336,,,,0,18.026,16.375,0.175986,dubious
J056.5115+23.7371,56.51159,23.73719,856.055725,12.758241,12.73012,11.979342,11.945471,,,,0,12.749,11.975,0.295497,dubious
J056.8445+23.7350,56.84458,23.73509,6.033022,17.974485,17.855881,16.381689,16.326061,,,,0,17.924,16.349,0.383263,dubious
J056.9216+23.7401,56.92168,23.7401,35.156174,13.908175,13.80116,13.13766,13.061331,0.781687,13.158796,13.052708,213.7,13.857,13.093,1.563333,IRR    
J057.0332+23.7397,57.03322,23.73973,15.886169,17.549768,17.413858,16.009535,15.923963,,,,0,17.462,15.956,1.029466,dubious
J057.2744+23.7396,57.27447,23.7396,22.575096,15.43439,15.40074,14.20996,14.200783,,,,207,15.419,14.201,9.760152,dubious
J056.7894+23.7420,56.78942,23.742,12.737919,15.248441,15.208404,14.05909,14.023385,,,,208.1,15.229,14.035,3.025871,dubious
J055.8705+23.7546,55.87056,23.75466,139.502914,13.927436,13.911871,13.378929,13.363911,,,,277.6,13.92,13.371,17.487271,dubious
J056.4142+23.7541,56.41428,23.75411,23.872515,12.48639,12.415141,11.751413,11.670557,,,,278.9,12.459,11.715,5.410055,dubious
J056.3733+23.7603,56.37331,23.76031,7.45331,13.37375,13.347872,12.644938,12.623265,,,,60.8,13.36,12.633,1.75968,dubious
J057.1478+23.7682,57.1478,23.76822,11.196509,15.06223,15.044547,14.752378,14.744127,,,,0,15.055,14.751,0.508179,dubious
J056.6668+23.7827,56.66683,23.78276,5.385769,17.30044,17.145832,15.94143,15.87524,,,,0,17.227,15.914,0.651426,dubious
J057.2371+23.7844,57.23711,23.7844,335.603638,16.069736,15.794315,15.483986,15.413963,,,,0,15.867,15.436,0.498632,dubious
J056.0985+23.7930,56.09857,23.79301,7.571055,15.092717,15.073015,14.65217,14.641351,,,,0,15.082,14.649,0.538902,dubious
J056.4437+23.7951,56.44372,23.79518,6.426539,16.025381,15.965941,14.681468,14.660867,,,,245,15.992,14.672,1.729779,dubious
J057.3547+23.7950,57.35473,23.79501,536.95459,12.470934,12.199748,10.940555,10.849402,0.995741,10.982258,10.893913,441.6,12.253,10.698,376.288714,LPV    
J055.7922+23.8001,55.79225,23.80018,14.567156,13.655933,13.636687,12.59155,12.544036,,,,9.5,13.645,12.567,1.866941,dubious
